Name      ;Data 1  ;Data 2  ;Data 3  ;;
Blähschiefer Schättung;400;0.16;3;;
Bimskies Schättung;1000;0.19;3;;
Lehmbaustoff;1400;0.59;5/10;;
Fliesen;2000;1.0;10^6;;
Marmor;2800;3.5;10000;;
