Name      ;Data 1  ;Data 2  ;Data 3  ;;
Schaumglas CG;100;0.04;10^6;;;
Holzwolle Platten;360;0.065;2/5;;;
Blähperlit EPB;140;0.05;5;;;
Korkdämmstoff ICB;110;0.055;5/10;;;
Holzfaserdämmplatte WF;160;0.04;3/5;;;
PUR Ortschaum;45;0.035;0;;;
Wärmedämmputz;2000;0.96;5/20;;;
