Name      ;Data 1  ;Data 2  ;Data 3  ;;
Holzschalung;600;0.13000000000001;15/45;;;
Nut und Feder Holzbrett;600;0.13;15/45;;;
Sparren 160mm;600;0.13000000000002;20/50;;;
MDF Platten;400;0.1;5/10;;;
OSB-Platten;650;0.13000000000003;30/50;;;
Spanplatten;600;0.14;15/50;;;
Sperrholz;700;0.17;90/220;;;
Holzfaserplatten;300;0.06;3/5;;;
