Name      ;Data 1  ;Data 2  ;Data 3  ;;
Normalbeton bewehrt;2400;2.1;70/150;;;
Leichtbeton;1200;0.62;70/150;;;
Porenbeton;600;0.18;5/10;;;
Naturbimsleichtbeton;1200;0.41;5/15;;;
Blähtonleichtbeton;1400;0.55;5/15;;;
unbewehrter Beton;2000;1.7;70/150;;;
